r_returns,r_envelope,c_surr_mean,c_surr_std,gap,z,meta_pulse,group,tickers
0.32351325531185376,0.34808947257786305,0.008318253217593597,0.006120995073213076,0.33977121936026944,6.0,0.9955037268390589,CORE,"WCLD, SIVR, TRRDX, DSGR, PGX"
0.342834253756689,0.34816894748232974,0.009213244642971985,0.00576850787244221,0.3389557028393578,6.0,0.9955037268390589,CORE,"EA, SHYG, ARKX, LNG, FTEC"
0.384210592496074,0.4276108454425251,0.008476786863005325,0.005145838732402922,0.41913405857951974,6.0,0.9955037268390589,CORE,"HOLX, FRPT, IAU, MTUM, SPYG"
0.36022447545571323,0.395712915209739,0.009150548611065608,0.00514846360220558,0.3865623665986734,6.0,0.9955037268390589,CORE,"FINX, CSGP, KOS, PRDGX, TYL"
0.3156251572124885,0.3532817930102222,0.009080583095109784,0.004564142735885223,0.34420120991511244,6.0,0.9955037268390589,CORE,"ARKX, VNDA, ARKQ, AL, PGX"
0.3302753900163998,0.36770862474816923,0.007516247982734476,0.005738256425746054,0.36019237676543475,6.0,0.9955037268390589,CORE,"LYB, HOLX, RHI, EPD, SJNK"
0.3884616859400115,0.4106661733503345,0.008765711178353373,0.004553632857414946,0.4019004621719811,6.0,0.9955037268390589,CORE,"SIZE, PPLT, GLW, ARKQ, LYB"
0.35839279723833,0.3734613768070458,0.008595123315164394,0.004865687716302227,0.3648662534918814,6.0,0.9955037268390589,CORE,"ARKK, PALL, KOS, TRLGX, LYB"
0.35788016613471413,0.41669571223965696,0.0090934778207584,0.0049575980278580446,0.40760223441889853,6.0,0.9955037268390589,CORE,"FRPT, USO, TTMI, HOLX, SKYY"
0.3514194623699485,0.4137145419034679,0.00855088590737112,0.00451531991397635,0.40516365599609677,6.0,0.9955037268390589,CORE,"VTI, SIVR, TTMI, FDS, UMC"
0.28457525016987245,0.2552241322709428,0.007722932337468986,0.004662320705394674,0.24750119993347383,6.0,0.9955037268390589,CORE,"ICE, CTLP, ET, DGRO, SNBR"
0.4342913062786191,0.3969494503959212,0.007862309379856026,0.004618221208586719,0.3890871410160652,6.0,0.9955037268390589,CORE,"JD, QUAL, FBGRX, FXAIX, ARR"
0.393971370079026,0.4276703376743246,0.006490576480349717,0.0051390935889022845,0.4211797611939749,6.0,0.9955037268390589,CORE,"PREIX, FZROX, WDC, ARKQ, SLV"
0.3972706595887866,0.42002690899340134,0.008300577983031632,0.006881094571351374,0.4117263310103697,6.0,0.9955037268390589,CORE,"TRLGX, WTI, FRPT, DBA, GLNG"
0.30879690262103704,0.3315644750330905,0.00789402861879833,0.005404067323945447,0.32367044641429216,6.0,0.9955037268390589,CORE,"GME, WCLD, FLRN, VTSAX, SPYG"
0.32108980797136,0.29310831165995155,0.007338852935765665,0.004892936860909012,0.2857694587241859,6.0,0.9955037268390589,CORE,"GLNG, TNET, HUN, NDAQ, SKYY"
