state,ch_idx,SCI,gap,ch_name
recovery,39,0.7130701992966971,0.05772596827454287,P3
recovery,40,0.7097512629157113,0.05846722650328444,E53
recovery,41,0.7093786927966887,0.056130021843176704,E54
recovery,42,0.7175008339982738,0.05722504796419969,E55
recovery,43,0.6859843364874948,0.04985028021227576,T5
recovery,44,0.6799750095007095,0.04935750715736052,E59
recovery,45,0.6969316150231977,0.05451703349095958,E60
recovery,46,0.703057532249823,0.05647453645838576,E61
recovery,47,0.719325850822146,0.05844013717553033,Pz
recovery,48,0.6710542346317351,0.046133783688908886,E65
recovery,49,0.6798691406479264,0.04863835871891472,E66
recovery,50,0.6882188004413299,0.05043403571620368,E67
recovery,51,0.6618839227526213,0.042870878549060264,O1
recovery,52,0.673618549100959,0.047601979906914955,E71
recovery,53,0.6842071505428987,0.049635466602393895,E72
recovery,54,0.6653975804142794,0.04304602058678087,Oz
recovery,55,0.6704159392833915,0.04519751707176003,E76
recovery,56,0.6971928160159728,0.0530958704876399,E77
recovery,57,0.7254854071443091,0.05980917343196897,E78
recovery,58,0.7152333172021696,0.05736983037061229,E79
recovery,59,0.6943112224366967,0.05050300751159313,E80
recovery,60,0.67996818270817,0.04741508874492081,O2
recovery,61,0.7020752039330476,0.05502914036358257,E84
recovery,62,0.7177131215942121,0.05879540060888355,E85
recovery,63,0.7297633378813305,0.06166918266723768,E86
recovery,64,0.7245883544126512,0.06366080481952627,E87
recovery,65,0.72034865832388,0.05916928861255594,E90
recovery,66,0.7195364858286271,0.05844369618344375,E91
recovery,67,0.740490772389338,0.06670185811804967,P4
recovery,68,0.7531149942025223,0.07031252696246412,E93
recovery,69,0.7362913825278233,0.0671164794173477,T6
recovery,70,0.7189060147722358,0.059537891352980064,E97
recovery,71,0.7308266311159048,0.0630228346162944,E98
recovery,72,0.7048230115182564,0.053647096964894635,E101
recovery,73,0.716257170869538,0.05800463986929062,E102
recovery,74,0.7365439772874994,0.06331730056468164,E103
recovery,75,0.7271708275354214,0.06107558157951565,C4
recovery,76,0.7162285773328608,0.05832406638796635,E105
recovery,77,0.6931091897896287,0.052143458200642215,E106
recovery,78,0.7192812075458395,0.0592854138771743,T4
recovery,79,0.7146553355646731,0.057148070866983015,E109
recovery,80,0.7321759279097095,0.0614840975381082,E110
recovery,81,0.7061382967431353,0.05558544506561465,E111
recovery,82,0.6929714425765421,0.051732452653548935,E112
recovery,83,0.7192099672548845,0.0576168879306236,E116
recovery,84,0.7114882304899675,0.056218286809569216,E117
recovery,85,0.7071004605745561,0.05665610959125633,E118
recovery,86,0.7134513071402719,0.059115326145918634,F8
recovery,87,0.7086277637357211,0.05565865389934889,E123
recovery,88,0.7248798965875956,0.061989341428667986,F4
recovery,89,0.7214131542485599,0.061351604033875275,E115
recovery,90,0.7035659580074095,0.053650840629331197,Cz
